idx,current_agent_name,best_agent_name,date,learning_rate,batch_size,round_num,play_num,train_epoch,train_buffer_size,PNN_loss,VNN_loss,train_loss,val_PNN_loss,val_VNN_loss,val_loss,win_num,lose_num,draw_num
44,43_3280_3520_7_21_0_45,41_3280_3360_7_21_0_2,7_21_1_6,0.001,32,8,80,1,186712,1.6408789157867432,0.6852679252624512,3.3066534996032715,1.78501296043396,0.827339768409729,3.592246532440185,7,9,0
45,44_3280_3600_7_21_1_6,41_3280_3360_7_21_0_2,7_21_1_30,0.001,32,8,80,1,190585,1.64404559135437,0.7011548280715942,3.324493885040283,1.7197986841201782,0.8460806012153625,3.5445713996887207,8,8,0
46,45_3280_3680_7_21_1_30,41_3280_3360_7_21_0_2,7_21_1_49,0.001,32,8,80,1,194659,1.6443272829055786,0.6884207725524902,3.3108394145965576,1.8045936822891235,0.8427742719650269,3.624855518341065,7,9,0
47,46_3280_3760_7_21_1_49,41_3280_3360_7_21_0_2,7_21_2_10,0.001,32,8,80,1,198729,1.6498743295669556,0.673957347869873,3.3007142543792725,1.8324609994888303,0.8519176244735718,3.66064977645874,7,9,0
48,47_3280_3840_7_21_2_10,41_3280_3360_7_21_0_2,7_21_2_36,0.001,32,8,80,1,202793,1.6657248735427856,0.6760062575340271,3.3174023628234863,1.836995840072632,0.824991762638092,3.6370553970336914,5,11,0
49,48_3280_3920_7_21_2_36,41_3280_3360_7_21_0_2,7_21_2_54,0.001,32,8,80,1,206827,1.6413248777389526,0.6735078692436218,3.2893009185791016,1.802107810974121,0.8360496759414673,3.612014770507813,6,10,0
50,49_3280_4000_7_21_2_55,41_3280_3360_7_21_0_2,7_21_3_16,0.001,32,8,80,1,210910,1.6354150772094729,0.676163911819458,3.2848353385925293,1.8091788291931152,0.846005916595459,3.627829551696777,5,11,0
51,50_3280_4080_7_21_3_16,41_3280_3360_7_21_0_2,7_21_11_35,0.001,32,16,80,1,214984,1.6805541515350342,0.6889254450798035,3.341526985168457,1.8525696992874143,0.8842648863792419,3.708275079727173,9,7,0
52,51_4080_4160_7_21_11_35,51_4080_4160_7_21_11_35,7_21_12_10,0.001,32,16,80,1,219315,1.7145923376083374,0.6823144555091858,3.367746591567993,1.839380383491516,0.8275492787361145,3.637171745300293,12,4,0
53,52_4160_4240_7_21_12_10,52_4160_4240_7_21_12_10,7_21_12_43,0.001,32,16,80,1,223035,1.7307661771774292,0.6992580890655518,3.399670362472534,1.820964336395264,0.8841838240623474,3.6742002964019775,12,4,0
54,53_4240_4320_7_21_12_43,53_4240_4320_7_21_12_43,7_21_13_19,0.001,32,16,80,1,226764,1.7235066890716553,0.6989883780479431,3.390944004058838,1.8627716302871704,0.9044885039329528,3.735096693038941,10,6,0
55,54_4320_4400_7_21_13_19,54_4320_4400_7_21_13_19,7_21_13_35,0.001,32,16,80,1,228246,1.702414631843567,0.7057396173477173,3.3753809928894043,1.868951797485352,0.8754413723945618,3.71101188659668,4,12,0
56,55_4320_4480_7_21_13_35,54_4320_4400_7_21_13_19,7_21_13_52,0.001,32,16,80,1,229771,1.7073345184326172,0.6842451691627502,3.357602119445801,1.8455899953842163,0.8591035008430481,3.670115470886232,4,12,0
57,56_4320_4560_7_21_13_52,54_4320_4400_7_21_13_19,7_21_14_10,0.001,32,16,80,1,231283,1.7097359895706177,0.6933403015136719,3.367908239364624,1.819141149520874,0.8619243502616882,3.6452958583831774,7,9,0
58,57_4320_4640_7_21_14_10,54_4320_4400_7_21_13_19,7_21_14_25,0.001,32,16,80,1,232755,1.7591676712036133,0.6708623766899109,3.393670558929444,1.8885841369628904,0.8753789067268372,3.727006912231445,5,11,0
59,58_4320_4720_7_21_14_25,54_4320_4400_7_21_13_19,7_21_14_41,0.001,32,16,80,1,234235,1.7356523275375366,0.6958342790603638,3.393937349319458,1.8372167348861688,0.8433180451393127,3.642390727996826,4,12,0
60,59_4320_4800_7_21_14_41,54_4320_4400_7_21_13_19,7_21_14_58,0.001,32,16,80,1,235801,1.740275263786316,0.667711615562439,3.3692522048950195,1.8802433013916016,0.8466015458106995,3.6875157356262207,9,7,0
